prenom,n_f,n_m
A'LIA,5,0
AABAN,0,5
AADAM,0,45
AADARSH,0,5
AADAV,0,5
AADEL,0,30
AADESH,0,5
AADHAV,0,15
AADHI,0,5
AADHINI,10,0
AADHIRA,45,0
AADHIRAN,0,35
AADHISH,0,5
AADHITH,0,15
AADHIYA,5,0
AADHYA,25,0
AADIL,0,170
AADISH,0,5
AADIYA,5,0
AADNANE,0,5
AADVIK,0,25
AADYA,5,0
AAFIYA,5,0
AAHANA,5,0
AAHIL,0,40
AAHRON,0,10
AAIRA,10,0
AAIRAH,5,0
AAISHA,10,0
AAKASH,0,10
AALEYAH,40,0
AALIA,45,0
AALIAH,5,0
AALIYA,320,0
AALIYAH,4205,0
AALLYAH,10,0
AALYA,180,0
AALYAH,355,0
AALYIA,5,0
AALYIAH,5,0
AAMINAH,5,0
AAMIR,0,5
AAMNA,5,0
AANOR,20,0
AANYA,10,0
AARA,5,0
AARADHANA,15,0
AARADHYA,30,0
AARAN,0,15
AARAV,0,35
AARAVI,10,0
AARHON,0,5
AARIA,5,0
AARICIA,30,0
AARISH,0,20
AARIZ,0,10
AARNA,15,0
AARON,80,39770
AARONE,0,195
AARONN,0,145
AAROUN,0,65
AARRON,0,15
AARUSH,0,95
AARUSHA,10,0
AARUSHAN,0,15
AARUSHI,20,0
AARUTH,0,5
AARUTHRA,5,0
AARUTHRAN,0,10
AARYA,45,0
AARYAN,0,20
AASHIKA,5,0
AASHVI,5,0
AATHAVAN,0,5
AATHINI,5,0
AATHIRA,30,0
AATHIRAN,0,55
AATHITH,0,10
AATHMIKA,5,0
AATHVIK,0,5
AAVA,15,0
AAYA,35,0
AAYAN,0,140
AAYAT,20,0
AAYDEN,0,15
AAYLAN,0,10
AAYRA,5,0
AAYRON,0,10
AAZIZ,0,20
AAZIZA,5,0
AB,0,60
AB-DEL,0,25
ABABACAR,0,70
ABAKAR,0,40
ABAN,0,20
ABANE,0,5
ABANOB,0,5
ABARNA,5,0
ABAS,0,15
ABASS,0,130
ABASSE,0,90
ABASSI,0,5
ABASSIA,5,0
ABBA,0,10
ABBAS,0,305
ABBASS,0,10
ABBASSE,0,5
ABBES,0,285
ABBIE,425,0
ABBIGAELLE,45,0
ABBY,3200,0
ABBY-GAELLE,275,0
ABBYGAEL,290,0
ABBYGAELLE,880,0
ABBYGAIL,160,0
ABD,0,1705
ABD'ALLAH,0,50
ABD-AL-MALIK,0,5
ABD-ALLAH,0,180
ABD-ALRAHMAN,0,10
ABD-AR-RAHMAN,0,10
ABD-ARRAHMAN,0,5
ABD-EL,0,475
ABD-EL-KADER,0,25
ABD-EL-KRIM,0,10
ABD-EL-RAHMAN,0,10
ABD-ELKARIM,0,5
ABD-RAHIM,0,5
ABD-RAHMAN,0,35
ABD-SAMAD,0,5
ABDAL,0,5
ABDAL-RAHMAN,0,5
ABDALA,0,30
ABDALAH,0,200
ABDALAYE,0,15
ABDALHA,0,15
ABDALLA,0,55
ABDALLAH,0,6705
ABDALMALIK,0,5
ABDALRAHMAN,0,15
ABDARAHIM,0,5
ABDARAHMAN,0,10
ABDARAHMANE,0,25
ABDARRAHMAN,0,50
ABDASSAMAD,0,5
ABDE,0,165
ABDE-NOUR,0,5
ABDEL,0,4860
ABDEL-AKIM,0,60
ABDEL-ALI,0,90
ABDEL-AZIZ,0,235
ABDEL-DJALIL,0,35
ABDEL-FATEH,0,5
ABDEL-GHANI,0,25
ABDEL-HADI,0,5
ABDEL-HAFID,0,75
ABDEL-HAKIM,0,455
ABDEL-HALIM,0,160
ABDEL-HAMID,0,200
ABDEL-HEDI,0,5
ABDEL-ILAH,0,65
ABDEL-ILLAH,0,45
ABDEL-JALIL,0,100
ABDEL-KADER,0,475
ABDEL-KARIM,0,485
ABDEL-KRIM,0,90
ABDEL-LATIF,0,10
ABDEL-MADJID,0,50
ABDEL-MAJID,0,105
ABDEL-MALEK,0,175
ABDEL-MALICK,0,5
ABDEL-MALIK,0,465
ABDEL-MOUMEN,0,5
ABDEL-NASSER,0,70
ABDEL-NOUR,0,65
ABDEL-RAHIM,0,95
ABDEL-RAHMAN,0,185
ABDEL-RAHMANE,0,80
ABDEL-RAHMEN,0,30
ABDEL-RANI,0,10
ABDEL-RANY,0,5
ABDEL-RAOUF,0,20
ABDEL-RAZAK,0,5
